species_id,volume,flower_color_free_text,color_category
27. Thalictrum,1,petals yellow or red,YELLOW
24. Pulsatilla,1,no flower colour mentioned,UNKNOWN
4. Anemone,1,no flower colour mentioned,UNKNOWN
3. Adonis,1,petals white or with pinkish tinge,WHITE
9. Ceratocephalus,1,no flower colour mentioned,UNKNOWN
20. Nigella,1,no flower colour mentioned,UNKNOWN
8. Caltha,1,no flower colour mentioned,UNKNOWN
1. Aconitum,1,no flower colour mentioned,UNKNOWN
12. Consolida,1,flowers yellow,YELLOW
2. Actaea,1,no flower colour mentioned,UNKNOWN
5. Aquilegia,1,no flower colour mentioned,UNKNOWN
13. Coptis,1,no flower colour mentioned,UNKNOWN
28. Troll ius,1,no flower colour mentioned,UNKNOWN
15. D ichrocarpum,1,no flower colour mentioned,UNKNOWN
1. A conitum  L.,1,"flowers blue, yellow, reddish, purple or white",WHITE
11. A. gymnandnun,1,no flower colour mentioned,UNKNOWN
9. A. fletcherianum,1,no flower colour mentioned,UNKNOWN
15. A. kashm lrkum,1,no flower colour mentioned,UNKNOWN
22. A. navkulare,1,flowers blue; flowers reddish purple or dark red,RED
17. A. laeve,1,no flower colour mentioned,UNKNOWN
19. A. moschatum,1,no flower colour mentioned,UNKNOWN
7. A  Cakonerf,1,no flower colour mentioned,UNKNOWN
16. A. laciniaUun,1,no flower colour mentioned,UNKNOWN
21. A  nakaol,1,"flowers yellow, in panicles",YELLOW
12. A  heterophylloides,1,no flower colour mentioned,UNKNOWN
25. A  aoongoriaun,1,no flower colour mentioned,UNKNOWN
3. A  Mama,1,no flower colour mentioned,UNKNOWN
4. A  chasmanthum,1,flowers dirty blue,PURPLE/BLUE
14. A. hooker!,1,no flower colour mentioned,UNKNOWN
13. A. heterophyllum,1,no flower colour mentioned,UNKNOWN
2. A. balfouri,1,no flower colour mentioned,UNKNOWN
20. A. nagarum,1,no flower colour mentioned,UNKNOWN
26. A. spicatum,1,flowers blue,PURPLE/BLUE
"3. Aconitum  bisma  (Buch.-Ham.)  Rapaics  in  Nov.  Kozlem.  6:  164.  1907,  p.  p.;",1,no flower colour mentioned,UNKNOWN
"4. Aconitum chasmanthum Stapf ex Holmes, Mus. Rep. Pharm. Soc. Gr. Brit. 2.",1,"flowers pale blue, often variegated with white",WHITE
"5. Aconitum deinorrhizum Stapf in Ann. R. Bot. Gard. Calc. 10:158,1. 103.1905.",1,sepals blue,PURPLE/BLUE
"6. Aconitum elwesii Stapf in Ann. R. Bot.  Gard.  Calc.  10:  174,  f.  112a.  1905. A.",1,sepals blue or violet,PURPLE/BLUE
7. Aconitum falconer! Stapf in Ann. R. Bot. Gard. Calc. 10:163.1905.>1. ferox auct.,1,no flower colour mentioned,UNKNOWN
"8. Aconitum ferox Wallich ex Seringe in Mus. Helv.  1:160,1.15, ff. 43 - 44.1823;",1,flowers blue,PURPLE/BLUE
9. Aconitum fletcherianum Taylor in J. Roy. Hort. Soc. 77.1952.,1,flowers bright blue purple or violet with a white outer edge,WHITE
10. Aconitum gammiei Stapf in Bull. Misc. Inf. Kew 1907:56.1907. A. dissectum D.,1,flowers pink,PINK
"11. Aconitum gymnandrum Maxim, in Bull. Acad. St. Petersb. 23:308.1877; Bruehl",1,no flower colour mentioned,UNKNOWN
12. Aconitum heterophylloides (Bruehl) Stapf in Ann. R. Bot. Gard. Calc. 10:171.,1,sepals blue or bluish white or white,WHITE
"13. Aconitum heterophyllum Wallich [Cat. 167, no. 4722.1831, nom. nud.) cx Royle,",1,no flower colour mentioned,UNKNOWN
"1872. Herbs, biennial; roots paired, 2.5 - 4 cm long, tuberous; stems downy, erect, simple",1,no flower colour mentioned,UNKNOWN
14. Aconitum hookeri Stapf in Ann. R. Bot. Gard. Calc. 10:147.1905; Lauener in,1,flowers dark blue to blue-purple,PURPLE/BLUE
1930. Kash.:  Pevak.,1,flowers intense blue,PURPLE/BLUE
1905. A. ferox Wallich ex Seringe var. laciniata  Bruehl  in Ann. R. Bot. Gard. Calc. 5:,1,sepals reddish purple or dark red,RED
"17. Aconitum laeve Roylc, Illus. Bot. Himal. 56.1834.  A. lycoctonum  auct. non L.;",1,"sepals white, yellowish or dull purple",WHITE
1979. Distinguished by its curly hairs.,1,no flower colour mentioned,UNKNOWN
"18. Aconitum lethale Griffith, Notul.  4:732.1854 & Icon. PI. Asiat. 460, f. 3.1854.",1,no flower colour mentioned,UNKNOWN
19. Aconitum moschatum (Bruehl) Stapf in Ann. R. Bot. Gard. Calc. 10:139 -140.,1,no flower colour mentioned,UNKNOWN
21. Aconitum nakaoi Tamura in Acta Phytotax. & Geobot. Kyoto 19; 73.1962. A.,1,flowers rich blue-violet or pale purple with a reddish tinge,RED
22. Aconitum naviculare (Bruehl) Stapf in Ann. R. Bot. Gard. Calc. 10:154.1905.,1,sepals reddish blue,RED
23. Aconitum novoluridum Munz in Gentes Herb. 6: 472.1945; Lauener in Notes,1,flowers dull red or yellowish inside and purplish outside,YELLOW
24. Aconitum rotundifolium Kar. & Kir. in Bull. Soc. Nat. Mosc. 15:139.1842. A,1,flowers pale pinkish mauve or blue,PINK
"25. Aconitum soongoricum Stapf in Ann. R. Bot. Gard. Calc. 10:141, t. 95.1905.",1,flowers blue,PURPLE/BLUE
"26. Aconitum spicatum (Bruehl) Stapf in Ann. R. Bot. Gard. Calc. 10:165,1.106 &",1,flowers blue or violet,PURPLE/BLUE
2. Actaea L.,1,flowers white,WHITE
3. Adonis L.,1,"flowers scarlet or shades of scarlet, if yellow with a",YELLOW
3. A. nepaknala,1,no flower colour mentioned,UNKNOWN
1. A  aestivalis,1,flowers golden yellow,YELLOW
"1. Adonis aestivalis L., Sp. PI. 771.1753; Hook. f. & Thomson in FI. Brit. India 1:",1,flowers scarlet with a dark purple eye or yellow with dark purple centre,YELLOW
2. Adonis  chrysocyathus  Hook.  f.  &  Thomson in FI.  Brit. India  1:  15.  1872. A.,1,flowers golden yellow,YELLOW
3. Adonis nepalensis Simonovicz in Nov. Syst. PI. Vase. URSS. 7:146 -  148.1970,1,petals yellow or rarely dark blue,YELLOW
4. Anemone L.,1,dull red,RED
17. A. viUfolia,1,no flower colour mentioned,UNKNOWN
13. A. rupicola,1,"flowers rose, pink, purple or mauve",PINK
14. A. smithiana,1,flowers white or blue,WHITE
3. A. elongate,1,no flower colour mentioned,UNKNOWN
8. A. polyanthes,1,no flower colour mentioned,UNKNOWN
11. A. rivularis,1,no flower colour mentioned,UNKNOWN
5. A. grilTithii,1,no flower colour mentioned,UNKNOWN
12. A. ropestris,1,no flower colour mentioned,UNKNOWN
6. A. howelltt,1,no flower colour mentioned,UNKNOWN
4. A  geum,1,no flower colour mentioned,UNKNOWN
"1. Anemone biflora DC., Syst.  Nat.  1: 201.1820; Hook. f. & Thomson in FI. Brit.",1,flowers dull red,RED
"2. Anemone demissa Hook. f. & Thomson, FI. Ind.  23.1855 & in FI. Brit. India 1:",1,flowers white or pale blue to white inside and bluish or yellowish blue outside,WHITE
"3. Anemone elongata D. Don, Prodr. FI. Nep. 194.1825; Hook. f. & Thomson in FI.",1,flowers white,WHITE
4. Anemone geum A. Leveille  in Bull. Acad. Georg. B. 25:25.1915. A  obtusifolia,1,"sepal colour yellow, bluish near the base",YELLOW
"5. Anemone griff!thii Hook. f. & Thomson, FI. Ind. 24.1855 & in FI. Brit. India 1:",1,flowers white or pinkish,WHITE
6. Anemone howellii W.  Smith & Jeffrey in Notes R. Bot. Gard. Edinb. 9:78.1916.,1,no flower colour mentioned,UNKNOWN
"7. Anemone obtusiloba D. Don, Prodr. FI. Nep. 194.1825; Hook. f. & Thomson in",1,sepals white or bluish on both sides or golden yellow,WHITE
"8. Anemone polyanthes D. Don, Prodr. FI. Nep. 194.1825; Hook. f. & Thomson in",1,flowers white,WHITE
9. Anemone polycarpa W.E. Evans in Notes R. Bot. Gard. Edinb. 13:154.1951. A.,1,no flower colour mentioned,UNKNOWN
"1896. Herbs, somewhat hairy;  rootstock stout, fibrous.  Leaves deeply lobed, glabrous;",1,flowers golden yellow,YELLOW
"1982. Herbs, erect, 50 - 75 cm high; stems 30 - 50 cm long, covered with fibrous remains",1,"flowers white, blue or purplish outside",WHITE
"12. Anemone rupestris Wallich [Cat. 167, no. 4696.1831, nom. nud.] ex Hook. f. &",1,no flower colour mentioned,UNKNOWN
"1960. Herbs, with slender fibrous rootstock covered upwards by a few fibrous old sheaths.",1,flowers white or purplish or rarely reddish,WHITE
"13. Anemone rupicola Cambess. in Jacquem., Voy. Bot. 4:5, t. 2.1835; Hook. f. &",1,flowers white,WHITE
14. Anemone  smithiana  Lauener  &  Panigr.  in  Notes  R.  Bot.  Gard.  Edinb.  33:,1,"flowers whitish, pink, purple or mauve",WHITE
"15. Anemone tetrasepala Royle, Illus. Bot. Himal. 53.1834; Hook. f. & Thomson in",1,"flowers golden yellow, often purplish outside",YELLOW
"17. Anemone  vitifolia  Buch.-Ham.  ex  DC.,  Syst.  Nat.  1:  210.  1817;  Hook.  f.  &",1,flowers white,WHITE
5. Aquilegia L.,1,"flowers white, yellow, red or purple",WHITE
4. A. nivalis,1,no flower colour mentioned,UNKNOWN
3. A.moorcroftiana,1,no flower colour mentioned,UNKNOWN
"1. Aquilegia  fragrans  Benth. in Maund’s Botanist 4:  t.  181,  f. 21.  1840; Munz in",1,"flowers white, cream-coloured or pale blue",WHITE
2. Aquilegia karelinlana C. Meyer exTrautv. in Acta Hort. Petrop. 8:53.1883; Munz,1,flowers violet or dark red,RED
"3. Aquilegia moorcrolUana Wallich [Cat. 167, no 4713.1831, nom. nud.] ex Royle,",1,flowers white or purplish,WHITE
4. Aquilegia nivalis (Baker) Bruehl in J. Asiat. Soc. Beng. 61(2): 300.1893; Munz,1,flowers dark purple,PURPLE/BLUE
"5. Aquilegia pubiflora Wallich [Cat. 167, no. 4714.1831, nom. nud.] ex Royle, Ulus.",1,petals yellowish green or nearly white or pale purple,WHITE
6. Calathodes Hook. f. & Thomson,1,flowers golden yellow,YELLOW
7. Callianthemum C. Meyer,1,flowers white or with pink tinge,WHITE
2. C  anemonoides,1,no flower colour mentioned,UNKNOWN
1. Calllanthemum alatavicum Freyn in Bull. PHerb. Boiss. 6:882.1898.,1,flowers white,WHITE
1846. Ranunculus anemonoides J. Zahlbr. in Flora 6:220.1823.,1,petals pink to white,WHITE
"3. CaUianthemum pimpinelloides (D. Don ex Royle) Hook. f. & Thomson, Fl. Ind.",1,flowers white or pale red,WHITE
8. Caltha L.,1,"flowers yellow, rarely white or pink",WHITE
"1872. C. govaniana Wallich [Cat.  167. no.  4710.  1831, nom. nud.] ex Royle, Illus. Bot.",1,flowers white,WHITE
"1872. Erect herbs, 7 -15 cm high; rootstock thick, with branched main roots.  Leaves all",1,no flower colour mentioned,UNKNOWN
9. Ceratocephalus Moench,1,flowers yellow,YELLOW
1. C. falcatus,1,no flower colour mentioned,UNKNOWN
"1. Ceratocephalus falcatus (L.) Pers., Syn. PI. 1:341.1805. Ranunculus falcatus L.,",1,flowers yellow,YELLOW
"2. Ceratocephalus testiculatus (Crantz) Roth, Enum.  1:1014.  1827. Ranunculus",1,no flower colour mentioned,UNKNOWN
10. Cimicifuga L.,1,flowers white,WHITE
11. Clematis L.,1,"sepals white, yellowish, reddish or purplish",WHITE
5. C.  barbellata,1,no flower colour mentioned,UNKNOWN
32. C. zemuensls,1,no flower colour mentioned,UNKNOWN
19. G  montana,1,flowers blue or pale lilac,PURPLE/BLUE
12. C. grata,1,no flower colour mentioned,UNKNOWN
2. C. acutangula,1,no flower colour mentioned,UNKNOWN
23. C. puberula,1,no flower colour mentioned,UNKNOWN
9. C. connata,1,no flower colour mentioned,UNKNOWN
1. C. acuminata,1,no flower colour mentioned,UNKNOWN
13. C. graveolens,1,no flower colour mentioned,UNKNOWN
22. C. orientalis,1,no flower colour mentioned,UNKNOWN
26. C. tangutica,1,no flower colour mentioned,UNKNOWN
28. C. Ubetana,1,no flower colour mentioned,UNKNOWN
31. C. wightiana,1,no flower colour mentioned,UNKNOWN
30. C. wattii,1,no flower colour mentioned,UNKNOWN
14. C. grewiiflora,1,no flower colour mentioned,UNKNOWN
10. C. fulvicoma,1,no flower colour mentioned,UNKNOWN
3. C. andersonli,1,no flower colour mentioned,UNKNOWN
25. C. smilacifolia,1,no flower colour mentioned,UNKNOWN
29. C. tongluensfs,1,no flower colour mentioned,UNKNOWN
18. C  meyeriana,1,no flower colour mentioned,UNKNOWN
11. C  gouriana,1,no flower colour mentioned,UNKNOWN
"1. Clematis acuminata DC., Syst. Nat. 1:148.1817 & Prodr. 1:6.1824; Hook. f. &",1,flowers pale yellow,YELLOW
1925. Fl.  Nov. - Feb.;  Fr.  Feb. - June.,1,no flower colour mentioned,UNKNOWN
2. Clematis acutangula Hook. f. & Thomson in Fl. Brit. India 1:3.1872.,1,flowers brownish yellow,YELLOW
3. Clematis andersonii (CJB. Clarke ex O. Ktze) Eichler in Bibl. Bot. Stuttgart 124:,1,no flower colour mentioned,UNKNOWN
4. Clematis apiculata Hook. f. & Thomson in FI. Brit. India 1: 4.1872. C. apiifolia,1,no flower colour mentioned,UNKNOWN
"1885. Slender woody climbers; branches sulcate with more than 6 ribs,  adpressedly or",1,no flower colour mentioned,UNKNOWN
5. Clematis barbellata Edgew. in Trans. Linn. Soc. 20:25.1846; Hook. f. & Thomson,1,no flower colour mentioned,UNKNOWN
1834. C. barbellata var. obtusa Kitam. & Tamura in Fauna Fl. Nep. Himal. 127.1955.,1,flowers dull purple,PURPLE/BLUE
"6. Clematis bourdillonii Dunn in KewBull. 1914:81.1914; Gamble, Fl. Pres. Madras",1,no flower colour mentioned,UNKNOWN
"7. Clematis  buchananiana  DC.,  Syst.  Nat.  1:  140.  1817  &  Prodr.  1:  4.  1824  (as",1,no flower colour mentioned,UNKNOWN
"8. Clematis cadmia Buch.-Ham. ex Hook. f. & Thomson, FI. Ind. 5.1855 & in FI.",1,flowers light yellow,YELLOW
10. Clematis  fulyiconia Rehder & Wilson in PI. Wilson. 1:  327 - 328.1913.,1,no flower colour mentioned,UNKNOWN
"11. Clematis gouriana Roxb. [Hort. Beng. 43.1814, nom. nud.] ex DC., Syst. Nat. 1:",1,flowers greenish white or pale yellowish white,WHITE
"12. Clematis grata Wallich, PI. Asiat. Rar. 1:83, t. 98.1830; Hook. f. & Thomson in",1,flowers creamy-white,WHITE
13. Clematis graveolens Lindley in J. Hort. Soc. 1: 307.1846; Hook. f. & Thomson,1,flowers lemon yellow with purplish brown or purplish stamens,YELLOW
"14. Clematis  grewiiflora  DC.,  Syst.  Nat.  1:  140.  1818  &  Prodr.  1:  4.  1824  (as",1,flowers greenish or whitish,WHITE
"15. Clematis hedysarifolia DC., Syst. Nat. 1:148.1818 & Prodr. 1:6.1824, excl. dt.",1,no flower colour mentioned,UNKNOWN
1872. C  naravelioides O. Ktze in Verh. Bot. Ver. Brandenb. 26:119.1855.,1,flowers greenish yellow,YELLOW
"16. Clematis heynei M.A. Rau, nom. nov. C. triloba Heyne in Roth, Nov. Sp. PI. 251.",1,flowers white or creamy-white,WHITE
"17. Clematis  ladakhiana Grey-Wilson in Kew Bull. 44: 49, ff. 1 N-P, 4 D-F. 1989,",1,"flowers yellow, often tinged or spotted with purplish brown or reddish brown",YELLOW
"18. Clematis meyeriana Walpers in Nova Acta Leop. Nat. Cur. 19, suppl.  1: 297.",1,no flower colour mentioned,UNKNOWN
"19. Clematis montana Buch.-Ham. ex DC., Syst. Nat.  1:  164.1817 & Prodr.  1: 9.",1,"flowers white, cream-yellow or purplish outside",WHITE
"1896. Fl.  April - May,  Fr.  May - Oct.",1,no flower colour mentioned,UNKNOWN
"20. Clematis  munroiana Wight, Illus.  1: 5 ,1 .1.1831; Dunn in Gamble, Fl. Pres.",1,flowers deep purple,PURPLE/BLUE
"21. Clematis napaulensis DC., Syst. Nat. 1:164.1817 & DC., Prodr. 1:9.1824; Hook.",1,no flower colour mentioned,UNKNOWN
"22. Clematis orientalis L., Sp. PI. 543.1753; Hook. f. & Thomson in FI. Brit. India",1,"flowers pale yellow, greenish yellow or cream-coloured, sometimes purplish brown inside, tinged with red-violet outside, often mottled with",YELLOW
"1872. C. globosa Royle, Ulus. Bot. Himal.  51.1834. C. orientalis L.  var. globosa (Royle)",1,no flower colour mentioned,UNKNOWN
23. Clematis puberula Hook. f. & Thomson in Fl. Brit. India 1:4.1872.,1,flowers white,WHITE
"24. Clematis roylei Rehder in J. Am. Arb. 22:575.1941. C. nutans  Royle, Illus. B ot",1,flowers cream-white or pale yellow,WHITE
25. Clematis smilacifolia Wallich in Asiat. Res. 13:402.1820; Hook. f. & Thomson,1,flowers cream-white or purplish brown,WHITE
"26. Clematis tangutica (Maxim.) Korsh in Bull. Acad. Sci. Petersb. 9:399,575.1898;",1,"flowers lemon yellow, tinged with brown or purplish brown",YELLOW
"27. Clematis theobromina Dunn in Bull. Misc. Inf. Kew 1914:181.1914; Gamble,",1,no flower colour mentioned,UNKNOWN
28. Clematis tibetana O. Ktze in Verb. Bot. Ver. Brandenb. 26:172.1885; Grey-,1,"flowers yellow or greenish yellow, flushed or spotted with rusty brown, bronze or purplish yellow",YELLOW
29. Clematis tongluensis (Bruehl) Tamura in Acta Phytotax. & Geobot. Kyoto 19:,1,no flower colour mentioned,UNKNOWN
30. Clematis wattii J.R. Drumm. &  Craib in Kew Bull. 1915: 421.1915; Gupta in,1,no flower colour mentioned,UNKNOWN
"31. Clematis wightiana Wallich [Cat.  no. 4674.1828, nom. nud.] ex Wight & Arn.,",1,flowers white or pale creamy or golden yellow,WHITE
32. Clematis zemuensis W. Smith in Rec. Bot. Surv. India 4:66.1911.,1,flowers yellowish white,WHITE
12. Consolida (DC.) S.F. Gray,1,no flower colour mentioned,UNKNOWN
"1962. Delphinium ambiguum L., Sp. PI. ed. 2,749.1763.",1,flowers blue to rose or white,WHITE
"2. Consolida orientalis (Gay) Schroed., Abh. Zool.-Bot. Ges. Wien 4(5): 25.1909.",1,"flowers dark purple, violet or white",WHITE
"3. Consolida  schlagintweitii  (Huth)  Munz  in J.  Arn.  Arb.  48:  191,  f.  4c.  1967.",1,flowers deep violet,PURPLE/BLUE
13. Coptis Salisb.,1,flowers white,WHITE
14. Delphinium L.,1,no flower colour mentioned,UNKNOWN
22. D. unctnatum,1,no flower colour mentioned,UNKNOWN
19. D. royle!,1,no flower colour mentioned,UNKNOWN
24. D. viscosum,1,no flower colour mentioned,UNKNOWN
23. D. vestttnm,1,no flower colour mentioned,UNKNOWN
9. D. glaciate,1,no flower colour mentioned,UNKNOWN
3. D. caeruleum,1,no flower colour mentioned,UNKNOWN
10. D. lncisum,1,no flower colour mentioned,UNKNOWN
12. D. koelzii,1,"flowers darker than sepals, almost black",OTHER
11. D. kamaonense,1,no flower colour mentioned,UNKNOWN
4. D. candelabrum,1,no flower colour mentioned,UNKNOWN
18. D. pyramidale,1,no flower colour mentioned,UNKNOWN
21. D. stapeliosum,1,no flower colour mentioned,UNKNOWN
8. D. drepanocentrum,1,no flower colour mentioned,UNKNOWN
16. D. m alabarkum,1,no flower colour mentioned,UNKNOWN
20. D. scabrlflorum,1,sepals rich purple to deep maroon,PURPLE/BLUE
"1. Delphinium altissimum Wallich [Cat. 167, n. 4718.1831, nom. nud.] PI. Asiat.",1,"petals purple to rich purple, sepals deep blue",PURPLE/BLUE
"2. Dephinium brunonianum Royle, Illus. Bot. Himal. 56.1834; Hook. f. & Thomson",1,no flower colour mentioned,UNKNOWN
1855. Hindi: Laskar (HP),1,"sepals royal blue to pale blue, petals dark blue or almost black",PURPLE/BLUE
"3. Delphinium  caeruleum  Jacquem.  ex  Cambess.  in  Jacquem., Voy. Bot. 4:7,",1,petals bluish,OTHER
"4. Delphinium candelabrum Ostenf. in Hedin, South. Tibet 6(3): 80.1922; Munz in",1,"sepals blue-purple, petals dark violet",PURPLE/BLUE
"5. Delphinium cashmerianum Royle, Illus. Bot. Himal. 55.1834,1.12.1833; Hook,",1,flowers bluish-purple,PURPLE/BLUE
"6. Delphinium densiflorum Duthie ex Huth, Bot. Jahrb. 20:393.1895; Mukeijee in",1,"sepals grey-blue to deep blue, petals black",PURPLE/BLUE
"7. Delphinium denudatum Wallich [Cat. no. 4719.1830, nom. nud.] ex Hook. f. &",1,flowers blue or violet,PURPLE/BLUE
"8. Delphinium drepanocentrum (Bruehl ex Huth) Munz in J. Arn. Arb. 49: 94, f.",1,"sepals mauve to dull purple, petals bluish",PURPLE/BLUE
"9. Delphinum glaciate Hook. f. & Thomson, FI. Ind. 53.1855 & in FI. Brit. India 1:",1,"sepal colour pale blue, petals black",PURPLE/BLUE
"10. Delphinium incisum (Hook. f. & Thomson) Wallich [Cat. 4717.1828, nom. nud.]",1,no flower colour mentioned,UNKNOWN
11. Delphinium kamaonense Huth in Bull. Herb. Boiss. 1:33.1893; Munz in J. Arn.,1,"sepals deep blue, lower petals blue, upper petals light brown",PURPLE/BLUE
"12. Delphinium koelzii Munz in J. Arn. Arb. 48: 522, f. 9H. 1967.",1,sepals reddish violet to blue,RED
"13. Delphinium kohatense (Bruehl) Munz in J. Arn. Arb. 48: 280, f. 4A. 1967.  D.",1,flowers pale blue,PURPLE/BLUE
14. Delphinium lacostei Danguy in J. Bot. Morot. 21:50.1908; Munz in J. Arn. Arb.,1,flowers blue,PURPLE/BLUE
"15. Delphinium ludlowii Munz in J. Arn. Arb. 49:105, f.  14K.  1968; Grierson &",1,"petals bluish, sepals blue, purplish or pale maroon",PURPLE/BLUE
"16. Delphinium malabaricum (Huth)  Munz in J. Arn. Arb. 49:106, f.  142/1968;",1,sepals bright blue,PURPLE/BLUE
17. Delphinium nortonii Dunn in Bull. Misc. Inf. Kew 1927:247.1927; Munz in J.,1,no flower colour mentioned,UNKNOWN
"18. Delphinium pyramidale Royle, Illus. Bot. Himal. 56.1834.  D. ranunculifolium",1,flowers blue or purplish,PURPLE/BLUE
"19. Delphinium roylei Munz in J. Arn. Arb. 48: 292-293.1967. D. incanum Royle,",1,"sepals deep purplish blue, petals pale blue and deep blue",PURPLE/BLUE
"20. Delphinium scabriflorum D. Don, Mem. Wern. Soc. 3: 413.1821; Munz in J.",1,flowers blue or light purple,PURPLE/BLUE
"21. Delphinium stapeliosum Bruehl ex Huth, Bot. Jahrb. 20:419.1895. D. stapelios-",1,flowers blue-black,PURPLE/BLUE
22. Delphinium uncinatum Hook. f. & Thomson in Fl.  Brit. India 1.24.1872.,1,no flower colour mentioned,UNKNOWN
"23. Delphinium vestitum Wallich ex Royle, Illus. Bot. Himal. 55.1834, Hook. f. &",1,"sepals violet-blue to purple, petals dark purple",PURPLE/BLUE
15. Dichrocarpum Wang & Hsiao,1,flowers white,WHITE
"2. Follicles 2, cylindrical, 7 - 9 x 1.5 mm.",1,no flower colour mentioned,UNKNOWN
16. Halerpestes Greene,1,flowers yellow,YELLOW
1. H. sarmentosa,1,no flower colour mentioned,UNKNOWN
"1. Halerpestes sarmentosa (Adams) Kumarov in Kumarov & Klob., Als. Key PI.",1,no flower colour mentioned,UNKNOWN
2. Halerpestes tricuspis (Maxim.) Hand.-Mazz. in Acta Hort. Gotob. 13:135.1939;,1,flowers yellow,YELLOW
17. Hepatica Mill.,1,flowers white,WHITE
18. Isopyrum L.,1,no flower colour mentioned,UNKNOWN
"1. Isopyrum  anemonoides  Kar.  & Kir.  in Bull.  Soc.  Nat.  Mosc.  15:  135.1842.1,",1,"flowers white, pale lilac inside",WHITE
"1968. Herbs, 8 - 20 cm high, branched, papillose-pilose above, glabrous below.  Radical",1,no flower colour mentioned,UNKNOWN
"19. Naravelia DC., nom. cons.",1,petals greenish yellow,YELLOW
20. Nigella L.,1,sepal colour white,WHITE
21. Oxygraphis Bunge,1,flowers yellow,YELLOW
22. Paraquilegia J.R. Drumm. & Hutch.,1,no flower colour mentioned,UNKNOWN
"1. Paraquilegia anemonoides (Willd.) Ulbrich in Fedde, Rep. Beih. 12.369.1922.",1,flowers pale lavender to blue or white,WHITE
"2. Paraquilegia microphylla (Royle) J.R. Drumm. & Hutch, in Kew Bull. 1920:157,",1,flowers deep blue or pale lavender or white,WHITE
23. Paroxygraphis W.  Smith,1,flowers yellow,YELLOW
24. Pulsatilla Miller,1,flowers red,RED
25. Ranunculus L.,1,flowers white or yellow,WHITE
31. R. trtchophyllus,1,flowers yellow,YELLOW
17. R. murfcatus,1,no flower colour mentioned,UNKNOWN
25. R. sardosus,1,no flower colour mentioned,UNKNOWN
26. R. scleratus,1,no flower colour mentioned,UNKNOWN
18. R. natans,1,no flower colour mentioned,UNKNOWN
33. R. w allichianus,1,no flower colour mentioned,UNKNOWN
13. R  laetus,1,no flower colour mentioned,UNKNOWN
