species_id,volume,raw_text,flower_color_free_text
15. Tinospora cordifolui  (Willd.)  Hook.  t.  &  1 homson,1,"(Maharashtra, BSI)",no flower colour mentioned
16. Nymphaea  rubra  Roxb. ex  Andrews,1,"(Madras, C. Livingstone)",no flower colour mentioned
17. Nelumbo nucifera  Gacrtn.,1,"(Madras, C. Livingstone)",no flower colour mentioned
18. Nelumbo nucifera  Gaerln.,1,"(Knttayam, Kerala, V.T. Antony)",no flower colour mentioned
19. Podophyllum hexandrum  Royle,1,"(Valley of Flowers, Uttar Pradesh, BSD). R A N U N C U L A C E A E (M.A. Rau) Herbs, annual or perennial, erect or stoloniferous, rarely shrubs or woody climbers. Leaves basal and cauline, alternate, rarely opposite, entire or palmately, ternately or pinnately dissected, sometimes compound, always exstipulate or petioles sometimes broadened into stipule-like auricles at base, very rarely free; leaf-bases often sheathing. Inflorescence 1-flowered, cymose, racemose, thyrsoid or paniculate. Flowers actinomor- Phic or zygomorphic, bisexual or unisexual; plants monoecious, polygamous or very rarely dioecious; all parts hypogynous. Sepals (3-) 5 (-8), mostly 5, free, sometimes showy and petaloid; uppermost sepal sometimes concave, boat-shaped or helmet-shaped, rarely spurred. Petals 5 (0 12) or more, free, in some funnel-shaped or sometimes spurred and often with subbasal nectar glands, sometimes with honey-scales or honey- teaves between perianth and stamens. Stamens usually many, rarely 8 20, spirally Ranged, free, rarely outer staminodal and petaloid; anthers small, basifixed, extrorse °r introrse, dehiscing longitudinally by slits. Carpels 1 - many, spirally arranged, rarely few and whorled, free or sometimes shortly connate at base, unilocular; style short or elongated; stigma simple, sessile or decurrent ventrally on style; ovule solitary and basal, o* few to many and marginal, erect or pendulous, anatropous, 1- to 2-tegmic, crassi- nucellar or tenuinucellar. Fruits aggregate of 1-seeded indehiscent achenes or few to *®any-seeded follicles, dehiscing along dorsal suture, rarely capsule-like (Nigella) or a Jj^Hy (Actaea). Seeds small; endosperm copious, fleshy, embryo minute, rounded or baearj cotyledons undifferentiated. Mostly in N. temperate and alpine-regions, some in subtropical or tropical areas; ca ^Eftnera and 1900 species, 28 genera and 191 species in India. L iteratu re. BRUEHL, P. (1892) Die Ranunrulaceis Indicis disputationes. J. Asiat. Soc. Bengal n.s. fib 270 - 324. DE CANDOLLE A. P. (1824) Monographie: Memoire sur la familie des Ranunculacees. Syst. Nat. 1: 2 - 66. HANDEL-MAZZETTI, H. (1939) Plantae Sinensis 33: Ranunculaceae. Acta Gotob. 13: 37 - 219. LAUENER, L. A. (1978 & 1980) The typification of Royle’s Ranunculaceae. Note* R. Bot. Gard. Edinb. 36: 127",no flower colour mentioned
"128. OKADA,  H.  &  M.  TAMURA  (1979)",1,"^**3|®,®oiphology and relationship on the Ranunculaceae. J. Jap. B ot 54: 65 - 77. SANTISUK, T. (1979) 137 & 38: 125 ^ Phonological study of the tribe Ranunculeae (Ranunculaceae). Opera Bot. 48:1 - 74. ZIMAN, S. N. & KEENER (1989) A geographical analysis of the family RanuncuIaceaerAnn. Missouri Bot. Gard. 76: 1012.1049 Knin. ed. N. P. Baiakrishnan 2 FLORA OF INDIA [ VOL. 1 KEY TO THE GENERA la. Plants woody, erect or climbing; leaves opposite b. Plants herbaceous, erect, rarely climbing or creeping; leaves in basal rosette and/or alternate alpng 2 the stem 3",no flower colour mentioned
11. Clematis,1,"2a. Plants climbing by means of twining petioles; terminal leaflet normal; petals absent b. Plants climbing by means of tendrils; terminal leaflet modified into tendril; petals present 3a. Carpels 1-ovuled; fruits achenes b. Carpels many-ovuled; fruits follicular or capsular (berries in Actaea) 4a. Sepals petaloid; petals absent b. Sepals and petals differentiated, both present 5a. Leaves cauiine, compound; flowers in racemes or panicles; sepals not prominently coloured, small",no flower colour mentioned
19. Naravelia,1,"4 14 5 8 b. Leaves all radical, lobed or dissected; flowers on scapes; sepals brightly coloured, large",sepals brightly coloured
27. Thalictrum,1,"6 6a. Achenes with long featheiy styles b. Achenes with short styles, usually embedded in woolly hairs 7a. Scape with an involucre of 3 leafy bracts close to the flower b. Scape with an involucre of 2 - 3 leafy bracts at a distance from flower 8a. Herbs with stems, annual or perennial, mostly terrestrial plants b. Herbs, stemless, perennial, terrestrial 9a. Petals 5-24, yellow or red; glands absent; terrestrial plants b. Petals usually 5, yellow, white in some; glands present; mostly terrestrial, a few aquatic",petals yellow or red
24. Pulsatilla,1,7,no flower colour mentioned
4. Anemone,1,9 11,no flower colour mentioned
3. Adonis,1,". 10 10a. Achenes gibbous with empty pouches on either side and a long terminal beak, 2 - 3 times as long as the achene b. Achenes not as above 11a. Sepals deciduous or withering early b. Sepals persistent, enlarged after flowering 12a. Petals white or with pinkish tinge b. Petals yellow 13a. Flowers bisexual; petals 10 -15 b. Flowers unisexual; petals 5 14a. Carpels connate towards the apex; fruits capsular b. Carpels not connate towards apex; fruits follicular or a beriy (in Actaea) 15a. Sepals petaloid; petals absent b. Sepals and petals differentiated, both present 16a. Leaves reniform, palmatisect; torus elongating after flowering b. Leaves reniform, simple, entire; torus not elongating after flowering 17a. Flowers irregular (zygomorphic) b.( Flowers regular (actinomorphic) 18a. Posterior sepal helmet-shaped, vaulted; petals 2 b. Posterior sepal spurred; petals 1 or 4",petals white or with pinkish tinge
9. Ceratocephalus,1,25- Ranunculus 12 13,no flower colour mentioned
20. Nigella,1,15 16 17,no flower colour mentioned
8. Caltha,1,18 20,no flower colour mentioned
1. Aconitum,1,"19 1993] RANUNCULACEAE 3 19a. Spur only from the posterior sepal; petal 1, upper 2 petals absent; follicles solitary",no flower colour mentioned
12. Consolida,1,"l2* Conso1"" b. Spur from the posterior sepal and upper 2 petals; petals 4; spurs of upper 2 petals included in sepal spur, lower petals present; follicles 3 -5 2®&. Fruit a solitary berry b. Fruits of follicles 21a. Flowers with spurs h- Flowers without spurs 22a. Inflorescence racemose; racemes simple or paniculate b. Inflorescence a cyme, dichasium or flowers solitary 23a. Inflorescence a simple raceme; petals without glandular discs at apex b. Inflorescence a panicle of racemes; petals with 2 rounded glandular discs at apex 24a. Carpels long-stalked b. Carpels sessile 25a. Flowers yellow b. Flowers white or pale yellow 26a. Carpels constantly 2, connate at base, divaricate above b. Carpels 1 -10, free 27a. Stems simple, scapose; flowers solitary b* Stems branched, leafy; flowers in dichasia 14* Delphinium",flowers yellow
2. Actaea,1,21,no flower colour mentioned
5. Aquilegia,1,22 23 24,no flower colour mentioned
13. Coptis,1,25,no flower colour mentioned
28. Troll ius,1,26,no flower colour mentioned
15. D ichrocarpum,1,27,no flower colour mentioned
1. A conitum  L.,1,"Herbs, perennial, biennial or rarely annual, usually erect, rarely scandent or twining. Leaves basal and on stems, simple, suborbicular or broadly ovate in outline, generally temately palmati-partite or deeply divided or incised with lateral segments, again deeply divided or rarely pinnatisect. Flowers zygomorphic, in simple or branched racemes, often reducedtofew or solitary. Sepals 5, petaloid, blue, yeUow, reddish, purple or white; tbe uppermost larger, broader, hood-like, concave, boat-shaped or helmet-shaped, rarely spurred; the two upper lateral sepals obovate or suborbicular, flat; the two lower lateral sepals narrower and somewhat unequal, oblong or elliptic. Petals (honey-scales) 4 or 5, only 2 posterior ones developed and transformed into nectaries, with a slender grooved basal claw, broadening into a sac-like hooded limb, with terminal nectariferous spur, enclosed within the uppermost sepal, the anterior petals small or absent. Stamens numerous. Follicles usually 3 - 5, rarely 9 -12, somewhat erect, sessile. Seeds many, with sP°ngy rugose or wrinkled testa. North temperate regions; ca 300 species, 27 in India. Literature. STAPF, O. (1906) Aconites of India - A monograph. Ann. R. Bot. Gard. Calc.10: 115 * 197, tt. 92 -116. FLORA OF INDIA [VOL. 1 KEY TO THE SPECIES Herbs, scandent or twining Herbs, erect Pedicels recurved; flowers nodding; lamina of leaves pubescent Pedicels straight; flowers erect; lamina of leaves glabrous Annual herbs, with slender tap root; carpels 9 or more, up to 12 Perennial or biennial herbs, usually with a paired tap-root; carpels 3 - 5, rarely up to 8 2 3","flowers blue, yellow, reddish, purple or white"
11. A. gymnandnun,1,4 Flowers solitary or 2 at stem apex or up to 4 in a raceme Flowers in dense racemes or panicles Flowers always solitary; carpels 6 - 8 5 7,no flower colour mentioned
9. A. fletcherianum,1,Flowers 1 - 2 at stem apex or 1 - 4 in a raceme; carpels 5 Flowers 1 - 2 at stem apex; leaves mostly from hypogeous stem base; uppermost sepal helmet-shaped 6,no flower colour mentioned
15. A. kashm lrkum,1,Flowers 1 - 4 in 8 raceme; leaves mostly only basal; uppermost sepal boat-shaped,no flower colour mentioned
22. A. navkulare,1,"Perennial herbs Biennial herbs Follicles divergent; uppermost sepal helmet-shaped Follicles contiguous or erect; uppermost sepal ovate or boat-shaped, not helmet-shaped Uppermost sepal ovate with a long beak Uppermost sepal boat-shaped without a beak Petals (honey-scales) hispid or hispidulous Petals (honey-scales) glabrous Carpels glabrous, drying black Carpels pubescent, if glabrate then not drying black Inflorescence a few-flowered raceme; sepals glabrous Inflorescence a stiff dense raceme; sepals pubescent Carpels 3 (rarely 4 > 5 in A laciniatum) Carpels 5 Flowers blue; uppermost sepal up to 6 mm broad Flowers reddish purple or dark red; uppermost sepal 13-15 mm broad 8 10",flowers blue; flowers reddish purple or dark red
17. A. laeve,1,9,no flower colour mentioned
19. A. moschatum,1,11 16 12 13,no flower colour mentioned
7. A  Cakonerf,1,14 15,no flower colour mentioned
16. A. laciniaUun,1,"4 la. b. 2a. b. 3a. b. 4a. b. 5a. b. 6a. b. 7a. b. 8a. b. 9a. b. 10a. b. 11a. b. 12a. b. 13a. b. 14a. b. 15a. Uppermost sepal horizontal, conspicuously beaked; carpels densely velvety with yellow hairs b. Uppermost sepal oblique, shortly beaked; carpels pubescent or glabrate, not as above",no flower colour mentioned
21. A  nakaol,1,"16a. b. 17a. b. 18a. Carpels 3 Carpels 5 Flowers yellow, in panicles Flowers blue, in terminal racemes Carpels glabrous b. Carpels pubescent","flowers yellow, in panicles"
12. A  heterophylloides,1,17 lg 1. a,no flower colour mentioned
25. A  aoongoriaun,1,1 9 20 19a. Inflorescence a loose panicle; uppermost sepal obscurely beaked,no flower colour mentioned
3. A  Mama,1,b. Inflorescence a dense raceme; uppermost sepal with long and slender beak,no flower colour mentioned
4. A  chasmanthum,1,"1993] RANUNCULACEAE 5 20a. Leaves all or most from hypogeous base of stem b. Leaves basal and cauline 21a. Sepals sparingly hairy; uppermost sepal helmet-shaped, rarely navicular b. Sepals pubescent; uppermost sepal mostly boat-shaped 22a. Leaves 1 - 2 at base, and only 1 - 2 higher up; lamina laciniate b. Leaves 4 - 5 (-8), mostly basal in loose rosettes; lamina with broad lobes 23a. Lower leaves present at the time of flowering; leaves heteromorphous b. Lower leaves decayed at the time of flowering; leaves uniform 24a* Seeds broadly winged along raphe b. Seeds transversely lamellate, not winged along raphe 25a. Leaf-lamina glabrous, 3-partite b. Leaf-lamina finely pubescent, 5 or more partite 26a* Bracteoles linear, not dentate; flowers dirty blue; petal head ca 6 mm long b. Bracteoles broad, dentate; flowers saturated blue; petal head 10 -11 mm long 21 23",flowers dirty blue
14. A. hooker!,1,22,no flower colour mentioned
13. A. heterophyllum,1,24,no flower colour mentioned
2. A. balfouri,1,25,no flower colour mentioned
20. A. nagarum,1,26,no flower colour mentioned
26. A. spicatum,1,"Aconitum assamicum Lauener in Notes R. Bot. Gard. Edinb. 25; 28.1963. s Herbs, biennial; stems simple, erect, up to 60 cm high, with long spreading golden airs- Cauline leaves reniform. Inflorescence up to 15 cm long, paniculate. Flowers pale yellow. Sepals with long hairs. Petals (honey-scales) ca 1.5 cm long, more or less glabrous. Carpels 3, densely golden hairy. K Sept. Distrib. India: E. Himalayas, 3900 - 4300 m. Arunachal Pradesh. Endemic. Notes. Closely related to A. orochryseum of Nepal and Bhutan. ^ Aconitum balfouri Stapf in Ann. R. Bot. Gard. Calc. 10:160,1.104.1905. A. ferox ajjct. non Wallich ex Seringe; Wallich, PI. As. Rar. 1:35.1830, p. p. & Cat. 167, no. 4721. p. p. A. ferox var. atrox Bruehl in Ann. R. Bot. Gard. Calc. 5:110.1895. A. atrox Fig. 1 ^chl) Mukerjee in Bull. Bot. Surv. India 3:101.1962. ^^d i: Haldu-mitha. ud fCS Herbs, biennial; roots paired or ternate; stems erect, up to 1 m high, robust. Basal yec^a* the time of flowering; lower petioles up to 7.5 cm long. Inflorescence 0 30 cm long, many-flowcred, with yellowish tomentum. Sepals blue, pubescent; tom60110^ ^mct-shaped. Petals glabrous. Filaments hispidulous. Carpels 5, yellowish Cntose. Follicles oblong, loosely hairy. Seeds broadly winged along raphe. 6 FLORA OF INDIA [ VOL. 1 Fig. 1. Aconitum balfouri Stapf: a. habit; b. root; c. infructescence; d. flower, longitu­ dinal sectional view; e. seed. 1993] RANUNCULACEAE 7 FI. & Fr. Sept. - Oct. Distrib. India: Subalpine W. Himalayas. Uttar Pradesh. Nepal. Notes. Roots used locally in medicine. Stapf (I. c.) reports var. rhombifolium Stapf from Garhwal Himalayas in Uttar Pradesh.",flowers blue
"3. Aconitum  bisma  (Buch.-Ham.)  Rapaics  in  Nov.  Kozlem.  6:  164.  1907,  p.  p.;",1,"Fletcher & Lauener in Notes R. Bot. Gard. Edinb. 20:197, t. 166, f. 1.1950. Caltha bisma Buch.-Ham. in Edinb. J. Sci. 1: 251.1824. A. palmatum D. Don, Prodr. FI. Nep.196.1825; Hook. f. & Thomson in FI. Brit. India 1:28. l&ll.A.ferox subsp.palmatum (D. Don) Bruehl in Ann. R. Bot. Gard. Calc. 5: 111, t. I ll, f. 9 -13, 24, 25 & 31.1896. Nep.: Bikuma, Seto-bikoma. Herbs, biennial; roots paired, tuberous; stems erect, simple, 60 -150 cm high, stout, hollow, glabrous. Petioles slender, 4 -10 cm long; lamina obcordate to reniform, up to 15 cm in diam., subglabrous, deeply 5-lobed; segments ovate, cuneate at base, sharply cnt. Inflorescence a loose panicle, 10 - 20 cm long; pedicels 4 -10 cm long. Sepals greenish Ue or bluish white; uppermost sepal helmet-shaped, oblique, shortly beaked, ca 2.5 x 1*2 cm; upper lateral sepals obovate, ca 2 x 1.5 cm; lower lateral sepals elliptic, ca 15 x 7 mm. Petal head S-shaped, 5-6 mm long, glabrous; spur bulbous; lamina very short, ca I nun long. Nectaries and filaments glabrous. Carpels 5, glabrous. Follicles oblong, 2.5 "" 4 cm long, S - 6 mm thick, glabrous. Seeds black, obscurely winged with plaited testa. Fl. June - Aug.; Fr. Sept. - Oct. Distrib. India: Moist Abies and Rhododendron forests on alpine Himalayas, 2700 - 200 m. Uttar Pradesh (Garhwal), Sikkim, and Arunachal Pradesh. Nepal, Bhutan and China (Tibet). Notes. Extract from the roots of this non-poisonous plant is used medicinally (Stapf, Chromosome no. 2n * 48 (Baneriee & Sharma in Form, Str. & Funct. in Plants. Meenit.1975) 8 FLORA OF INDIA [ VOL.1",no flower colour mentioned
"4. Aconitum chasmanthum Stapf ex Holmes, Mus. Rep. Pharm. Soc. Gr. Brit. 2.",1,"1903; Stapf in Ann. R. Bot. Gard. Calc. 10:142 -144, t. 96.1905. Herbs, biennial; roots tuberous, paired, 3 - 5 cm long; stems 60 -120 cm high, erect, stout, simple below, glabrous or hairy. Leaves many, basal ones long-petioled, upper ones short-petioled; petioles up to 7.5 cm long; lamina orbicular or reniform, 4 - 6 x 5 - 9 cm, palmately tripartite to the base; lobes more or less laciniate. Inflorescence a stiff dense raceme, up to 30 cm long, pubescent. Flowers ca 2.5 cm long, pale blue, often vareigated with white; pedicels slender, adpressed to rachis when mature; bracteoles linear. Sepals blue or bluish white, glabrous; uppermost sepal helmet-shaped, ca 2 cm long, glabrous or slightly hairy; upper lateral sepals suborbicular; lower lateral sepals elliptic or oblong. Petals glabrous. Filaments glabrous or hairy on upper part, winged below; anthers brownish black. Carpels 5, glabrous. Follicles 5, free, oblong, glabrous or hairy. Seeds 3-winged. FL&Fr. July-Sept. Distrib. India: Alpine meadows of N. W. Himalayas. Jammu & Kashmir and Himachal Pradesh (inner valleys of Lahul and Sipti). Pakistan. Notes. The tubers contain a very poisonous alkaloid, indaconitine, a valuable drug for medicinal purposes. They are said to yield 4.25 to 4.5 % of the total alkaloid (Coventry, Wild FI. Kashmir 19.1930). This species belongs to the species aggregate described by Hook. f. & Thomson (in FI. Brit. India 1: 29.1872) under the name A. napellus (non L.). It has been stated that it is at times difficult to separate this species from A violaceum var. robustum Stapf.","flowers pale blue, often variegated with white"
"5. Aconitum deinorrhizum Stapf in Ann. R. Bot. Gard. Calc. 10:158,1. 103.1905.",1,"Fig. 2. Hindi: Mohra (Bashahr). Herbs, biennial; roots paired; stem 1 1.5 m high, erect, simple, sparingly hairy. Leaves scattered; petioles slender, 5 - 7 cm long; lamina reniform, ca 15 cm in diam., 5-partite; lobes and teeth acute, finely pubescent. Inflorescence simple, racemose, 30 - 40 cm long, greyish pubescent; pedicels slender, up to 6 cm long. Sepals blue; uppermost sepal oblique, helmet or boat-shaped with a short beak, ca 2 x 0.6 cm; upper lateral sepals obovate, ca 1.5 x 1 cm; lower lateral sepals elliptic, 10 15 mm long. Petals densely hispidulous; head S-shaped, ca 8 mm long; spur recurved. Filaments hairy. Follicles 3, greyish pubescent. Seeds obconic, ca 3 mm long, transversely lamellate. FI. Aug. - Sept. 1993] RANUNCULACEAE *%.2. Aconitum deinorrhlzum Stapf: a. rootstock; b. cauline leaves; c. inflorescence; (from H J . Chowdhery in Red Data Book of Indian Plants 1:312.1987). 10 FLORA OF INDIA [ VOL. 1 Distrib. India: Alpine grassy slopes, 3000 3500 m. Jammu & Kashmir and Himachal Pradesh ( Bashahr). Notes. An important drug of the local trade (Sarin & Gupta in Bull. Bot. Surv. India 9:282 - 293.1967). A poison is prepared from the root (Stapf, 1. c.).",sepals blue
"6. Aconitum elwesii Stapf in Ann. R. Bot.  Gard.  Calc.  10:  174,  f.  112a.  1905. A.",1,"uncinatum auct. non L.; Hook. f. & Thomson in FI. Brit. India 1:28.1872. A variegatum Hook. f. & Thomson, FI. Ind. 56.1855. Herbs, biennial; stems scandent, slender, weak, very long, sparingly branched, glabrous or puberulous. Basal leaves not seen; cauline leaves scattered, 6 12 cm in diam., pubescent; lamina ovate-cordate or rotund with wide sinus, palmately 3 - 5-par- tite; lobes cuneate-ovate, finely toothed; leaf-axils without bulbils. Inflorescences axillary or terminal, paniculate; flowers few to many; pedicels recurved. Sepals blue or violet, sparingly hairy; uppermost sepal narrowly helmet-shaped, arched, ca 2 x 1 cm, shortly ( ca 8 mm) beaked; upper lateral sepals ca 1.5 x 1.3 cm; lower lateral sepals 10 -13 x 4 - 5 mm; spur reflexed. Petals glabrous. Filaments winged. Follicles 5, glabrous; testa of seeds plaited. FL&Fr. May-Sept. Distrib. India: Climbing on shrubs in moist forests of alpine zones in E. Himalayas, ca 2400 m. Sikkim. Nepal, Bhutan and China (Tibet).",sepals blue or violet
7. Aconitum falconer! Stapf in Ann. R. Bot. Gard. Calc. 10:163.1905.>1. ferox auct.,1,"non Wallich ex Seringe; Hook. f. & Thomson in FI. Brit. India 1:28.1872, p.p. Herbs, biennial; roots paired, tuberous, up to 12 cm long, ca 2.5 cm thick; stems erect, up to 2 m high, simple below, branched above, finely puberulous. Leaves scattered; lower petioles up to 12 cm long; upper leaf-blades palmately 3 - 5-partite; lobes narrowly cuneate-ovate or broadly deltoid or trapezoid, sparingly hairy. Inflorescence terminal, stiff, erect, dense raceme, finely pubescent with soft hairs or tomentose with spreading hairs; lower pedicels nearly 4 cm long; bracts pinnately lobed. Sepals blue with dark tips, pubescent, helmet-shaped, shortly beaked. Petals (honey scales) minutely hispid. Car­ pels 5, glabrous, black when dry. Follicles 5, erect, glabrous; seeds winged along raphe; testa plaited. 1993] RANUNCULACEAE 11 KEY TO TH E VARIETIES la. Lobes of leaves narrowly cuneate-ovate; inflorescence finely pubescent with soft hairs b. Lobes of leaves broadly deltoid or trapezoid; inflorescence tomentose with spreading hairs 7.2. var. latilobum 7.1. var. falconer! 7.1. var. falconeri Fl.&Fr. Aug.-Sept. Distrib. India: Himachal Pradesh. Endemic. 12. var. latilobum Stapf in Ann. R. Bot. Gard. CalC. 10:164.1905. Fig. 3. o- cm ®%*3. Aconitum falconeri Stapf var. latilobum Stapf: a. cauline leaf; b. roots; c. inflorescence; d. infructescence; (from H J. Chowdhery in Red Data Book of Indian Plants 2:196.1988). 12 FLORA OF INDIA [VOL. 1 FI. & Fr. July - Sept. Distrib. India: Himachal Pradesh. Endemic.",no flower colour mentioned
"8. Aconitum ferox Wallich ex Seringe in Mus. Helv.  1:160,1.15, ff. 43 - 44.1823;",1,"Hook. f. & Thomson in FI. Brit. India 1:28.1872, p. p. Fig. 4. Fig. 4. Aconitum ferox Wallich ex Seringe: a. tuber; b. basal leaf; c. inflorescence; d. infructescence; (from H J. Chowdhery in Red Data Book of Indian Plants 1:314. 1987). 1993] RANUNCULACEAE 13 Herbs, biennial; stems erect, 1 - 2 m high, puberulous, leafy. Leaves palmately 5-fid, 8 -15 cm in diam.; lobes 5, ovate, wedge-shaped, acuminate, deeply incised. Racemes 15 - 30 cm long, simple or sparingly branched below, tomentose, many-flowered; lower bracts lobed; upper entire; bracteoles linear; pedicels up to 5 cm long, thickened towards apex. Flowers 2 - 3 cm long, blue; uppermost sepal 2 - 2.5 x 0.8 -1 cm, longer than high with short acute beak; upper lateral sepals ovate, ca 10 x 3 mm. Petal heads somewhat S-shaped, ca 6 mm long; spur recurved. Follicles 5, finely hairy. FI. & Fr. Aug. -Nov. Distrib. India: Moist forests, amongst shrubs, 2100 - 3800 m. Sikkim. Nepal and Bhutan. Notes. Tubers used for poisoning arrows and as a medicine for its action as narcotic and sedative.",flowers blue
9. Aconitum fletcherianum Taylor in J. Roy. Hort. Soc. 77.1952.,1,"Herbs, perennial, with dwarf habit, 7 -12 cm high; roots long, fusiform, breaking up below into cord-like strands. Leaves all radical, laxly rosulate; petioles slender, 3 -14 cm l°ng> glabrous; lamina orbicular-cordate to reniform, 3- to 5-partite nearly to base, 1 - 3 x 2 - 4 cm; ultimate lobes 3 - 4 mm broad, acute. Flowers solitary, bright blue purple or violet with a white outer edge; pedicel bearing ternately divided 0.7 - 1.5 cm long bracteole above the middle. Uppermost sepal boat-shaped, 2.5 - 3 x 1 -1.2 cm; lateral sepals ovate or obovate, 2 - 2.5 cm long, broad. Petal head 4 -5 mm long, funnel-shaped with a finger-like spur and rounded entire lamina. Filaments and anthers dark bluish or even blackish. Carpels 6 - 8, sparingly pubescent. Follicles not seen. FI. July - Oct. Distrib. India: Alpine rocks, cliff edges, grassy slopes of E. Himalayas, 4000 - 4700 Arunachal Pradesh. Bhutan. Notes. A perennial dwarf plant with solitary flowers, very unusual for the subgenus A]Koctonum.",flowers bright blue purple or violet with a white outer edge
